Parameter name,lower limit,upper limit
soil_loam_9_Ksat_0,0.0356,5
soil_loam_9_Ksat_0_v,0.0356,5
soil_loam_9_clay,0.12,0.22
soil_loam_9_pore_size_index,0.088,0.96
soil_loam_9_porosity_0,0.3,0.5
soil_loam_9_psi_air_entry,0.1,0.9
soil_loam_9_sand,0.35,0.6
soil_loam_9_silt,0.35,0.45
soil_sand_10_Ksat_0,0.0356,5
soil_sand_10_Ksat_0_v,0.0356,5
soil_sand_10_clay,0.03,0.1
soil_sand_10_pore_size_index,0.088,0.96
soil_sand_10_porosity_0,0.3,0.5
soil_sand_10_psi_air_entry,0.1,0.9
soil_sand_10_sand,0.75,0.92
soil_sand_10_silt,0.03,0.15
soil_sandy_loam_12_Ksat_0,0.0356,5
soil_sandy_loam_12_Ksat_0_v,0.0356,5
soil_sandy_loam_12_clay,0.08,0.15
soil_sandy_loam_12_pore_size_index,0.088,0.96
soil_sandy_loam_12_porosity_0,0.3,0.5
soil_sandy_loam_12_psi_air_entry,0.1,0.9
soil_sandy_loam_12_sand,0.65,0.8
soil_sandy_loam_12_silt,0.15,0.25
soil_silt_loam_8_Ksat_0,0.0356,5
soil_silt_loam_8_Ksat_0_v,0.0356,5
soil_silt_loam_8_clay,0.03,0.8
soil_silt_loam_8_pore_size_index,0.088,0.96
soil_silt_loam_8_porosity_0,0.3,0.5
soil_silt_loam_8_psi_air_entry,0.1,0.9
soil_silt_loam_8_sand,0.03,0.8
soil_silt_loam_8_silt,0.03,0.8
soil_silty_clay_loam_3_Ksat_0,0.0356,5
soil_silty_clay_loam_3_Ksat_0_v,0.0356,5
soil_silty_clay_loam_3_clay,0.3,0.45
soil_silty_clay_loam_3_pore_size_index,0.088,0.96
soil_silty_clay_loam_3_porosity_0,0.3,0.5
soil_silty_clay_loam_3_psi_air_entry,0.1,0.9
soil_silty_clay_loam_3_sand,0.3,0.55
soil_silty_clay_loam_3_silt,0.3,0.55
stratum_cwt_rhododendron_bgc_epc.day_leafoff,240,300
stratum_cwt_rhododendron_bgc_epc.day_leafon,70,120
stratum_cwt_rhododendron_bgc_epc.deadwood_fcel,0.6,0.8
stratum_cwt_rhododendron_bgc_epc.deadwood_flig,0.25,0.5
stratum_cwt_rhododendron_bgc_epc.frootlitr_fcel,0.4,0.55
stratum_cwt_rhododendron_bgc_epc.frootlitr_flab,0.2,0.4
stratum_cwt_rhododendron_bgc_epc.frootlitr_flig,0.2,0.35
stratum_cwt_rhododendron_bgc_epc.lai_ratio (allside_oneside),2,3
stratum_cwt_rhododendron_bgc_epc.leaf_cn,20.01,50
stratum_cwt_rhododendron_bgc_epc.leaf_turnover,0.160012791,0.479967131
stratum_cwt_rhododendron_bgc_epc.leaflitr_cn,45,97
stratum_cwt_rhododendron_bgc_epc.leaflitr_fcel,0.2,0.5
stratum_cwt_rhododendron_bgc_epc.leaflitr_flab,0.25,0.6
stratum_cwt_rhododendron_bgc_epc.leaflitr_flig,0.15,0.25
stratum_cwt_rhododendron_bgc_epc.livewood_cn,50,500
stratum_cwt_rhododendron_bgc_epc.livewood_turnover,0.65,0.75
stratum_cwt_rhododendron_bgc_epc.max_lai,5,20
stratum_cwt_rhododendron_bgc_epc.ndays_expand,170,200
stratum_cwt_rhododendron_bgc_epc.ndays_litfall,170,200
stratum_cwt_rhododendron_bgc_epc.proj_sla m2_kgC,15,25
stratum_deciduous_epc.day_leafoff,240,300
stratum_deciduous_epc.day_leafon,70,120
stratum_deciduous_epc.deadwood_fcel,0.6,0.8
stratum_deciduous_epc.deadwood_flig,0.25,0.5
stratum_deciduous_epc.frootlitr_fcel,0.4,0.55
stratum_deciduous_epc.frootlitr_flab,0.2,0.4
stratum_deciduous_epc.frootlitr_flig,0.2,0.35
stratum_deciduous_epc.lai_ratio (allside_oneside),2,3
stratum_deciduous_epc.leaf_cn,20.01,30
stratum_deciduous_epc.leaf_turnover,0.95,1
stratum_deciduous_epc.leaflitr_cn,50,60
stratum_deciduous_epc.leaflitr_fcel,0.2,0.5
stratum_deciduous_epc.leaflitr_flab,0.25,0.6
stratum_deciduous_epc.leaflitr_flig,0.15,0.25
stratum_deciduous_epc.livewood_cn,50,500
stratum_deciduous_epc.livewood_turnover,0.65,0.75
stratum_deciduous_epc.max_lai,15,25
stratum_deciduous_epc.ndays_expand,170,200
stratum_deciduous_epc.ndays_litfall,170,200
stratum_deciduous_epc.proj_sla m2_kgC,25,40
stratum_eastern_white_pine_epc.day_leafoff,240,300
stratum_eastern_white_pine_epc.day_leafon,70,120
stratum_eastern_white_pine_epc.deadwood_fcel,0.6,0.8
stratum_eastern_white_pine_epc.deadwood_flig,0.25,0.5
stratum_eastern_white_pine_epc.frootlitr_fcel,0.4,0.55
stratum_eastern_white_pine_epc.frootlitr_flab,0.2,0.4
stratum_eastern_white_pine_epc.frootlitr_flig,0.2,0.35
stratum_eastern_white_pine_epc.lai_ratio (allside_oneside),2.5,3
stratum_eastern_white_pine_epc.leaf_cn,20.01,30
stratum_eastern_white_pine_epc.leaf_turnover,0.25,0.35
stratum_eastern_white_pine_epc.leaflitr_cn,50,60
stratum_eastern_white_pine_epc.leaflitr_fcel,0.2,0.5
stratum_eastern_white_pine_epc.leaflitr_flab,0.25,0.6
stratum_eastern_white_pine_epc.leaflitr_flig,0.15,0.25
stratum_eastern_white_pine_epc.livewood_cn,50,500
stratum_eastern_white_pine_epc.livewood_turnover,0.65,0.75
stratum_eastern_white_pine_epc.max_lai,20,27
stratum_eastern_white_pine_epc.ndays_expand,170,200
stratum_eastern_white_pine_epc.ndays_litfall,170,200
stratum_eastern_white_pine_epc.proj_sla m2_kgC,15,25
stratum_evergreen_epc.day_leafoff,240,300
stratum_evergreen_epc.day_leafon,70,120
stratum_evergreen_epc.deadwood_fcel,0.6,0.8
stratum_evergreen_epc.deadwood_flig,0.25,0.5
stratum_evergreen_epc.frootlitr_fcel,0.4,0.55
stratum_evergreen_epc.frootlitr_flab,0.2,0.4
stratum_evergreen_epc.frootlitr_flig,0.2,0.35
stratum_evergreen_epc.lai_ratio (allside_oneside),2.5,3
stratum_evergreen_epc.leaf_cn,20.01,30
stratum_evergreen_epc.leaf_turnover,0.25,0.35
stratum_evergreen_epc.leaflitr_cn,50,60
stratum_evergreen_epc.leaflitr_fcel,0.2,0.5
stratum_evergreen_epc.leaflitr_flab,0.25,0.6
stratum_evergreen_epc.leaflitr_flig,0.15,0.25
stratum_evergreen_epc.livewood_cn,50,500
stratum_evergreen_epc.max_lai,10,15
stratum_evergreen_epc.ndays_expand,170,200
stratum_evergreen_epc.ndays_litfall,170,200
stratum_evergreen_epc.proj_sla m2_kgC,4.500766728,13.49970635
stratum_localdeciduous_epc.day_leafoff,240,300
stratum_localdeciduous_epc.day_leafon,70,120
stratum_localdeciduous_epc.deadwood_fcel,0.6,0.8
stratum_localdeciduous_epc.deadwood_flig,0.25,0.5
stratum_localdeciduous_epc.frootlitr_fcel,0.4,0.55
stratum_localdeciduous_epc.frootlitr_flab,0.2,0.4
stratum_localdeciduous_epc.frootlitr_flig,0.2,0.35
stratum_localdeciduous_epc.lai_ratio (allside_oneside),2,2.3
stratum_localdeciduous_epc.leaf_cn,20.01,30
stratum_localdeciduous_epc.leaf_turnover,0.7,0.9
stratum_localdeciduous_epc.leaflitr_cn,50,60
stratum_localdeciduous_epc.leaflitr_fcel,0.2,0.5
stratum_localdeciduous_epc.leaflitr_flab,0.25,0.6
stratum_localdeciduous_epc.leaflitr_flig,0.15,0.25
stratum_localdeciduous_epc.livewood_cn,50,500
stratum_localdeciduous_epc.max_lai,15,25
stratum_localdeciduous_epc.ndays_expand,170,200
stratum_localdeciduous_epc.ndays_litfall,170,200
stratum_localdeciduous_epc.proj_sla m2_kgC,28,40
zone_setting2010_lapse_rate_tmax (= lapse rate),0.003,0.1
zone_setting2010_lapse_rate_tmin (= lapse rate),0.003,0.1
zone_setting2010_wet_lapse_rate,0.004,0.06
zone_setting2010_lapse_rate_precip_default,0.00001,0.01
gw1,0.001,0.2
gw2,0.001,0.2
gw3,0.001,0.2
s1,0.001,20
s2,0.1,300
s3,0.1,20
sv1,0.001,20
sv2,0.1,300
svalt1,0.5,2
svalt2,0.5,2
